drug_id,fda,fda_altname,anxiety,anxiety_altname
BRD-K85660637,Letrozole,"CGS-20267,Femara,Letrozole",,
lanatoside c,Cyclacillin,"Calthor,Ciclacillin,Cyclacillin,Cyclapen,Cyclapen-W,Vasticillin,WY-4508",,
MLN-8054,Liothyronine,"Cynomel,LIOTHYRONINE (125I),Triiodothyronine\,Evans,Triiodothyronine,Rathyronine,NSC-80774,THYROLAR-1,LIOTHYRONINE (131I),Liothyronine,EUTHROID-3,THYROLAR-0.5,Triiodothyronine (t3 or liothyronine\, active) (6-11%),THYROLAR-3,Triiodothyronine Sodium\, LEVO,EUTHROID-1,THYROLAR-0.25,THYROLAR-5,Thybon,NSC-80203,EUTHROID-2,Triostat,T3 (LIOTRIX),THYROLAR-2,Liothyronine (L- Isomer) Sodium,TRIOMET-125,TRIOMET-131,Liothyronine Sodium,Cytomel,Liothyronine Sodium Salt,EUTHROID-0.5,Tertroxin,Tri-Thyrotope",,
pazopanib,Biotin,"Bioepiderm,Biotin,BIOTIN 100,MD-1003,NSC-63865,Vitamin H",,
GSK70916,Noscapine,"Narcotine,Narcotine HCl,Noscapine,Noscapine HCl,NOSCAPINE KCR-24,NSC-5366,Tusscapine",,
gw 3965 hydrochloride,Pirenzepine,"Gastri P,Gastrozepin,LS-519-C12,Pirenzepine,Pirenzepine Dihydrochloride,Pirenzepine HCl,Pirenzepine Hydrochloride",,
BRD-K99475920,Trifluoperazine,"Amylozine,Stelazine,Stelazine FTE,Trifluoperazine,TRIFLUOPERAZINE?2HCL,Trifluoperazine Dihydrochloride,Trifluoperazine HCl,Trifluoperazine Hydrochloride,Trifluoperazine Maleate",,
linopirdine dihydrochloride,Scopolamine,"Benzeneacetic acid\, alpha-(hydroxymethyl)-\, 9-methyl-3-oxa-9-azatricyclo[3.3.1.02\,4]non-7-yl ester\, [7(s)-(1alpha\,2????\,4????\,5alpha\,7????)]- [cas],Hyoscine,Hyoscine Hydrobromide,Hyoscine Hydrobromide Trihydrate,Isopto Hyoscine,Isoptpo Hyoscine,JOY-Rides,Kwells,Kwells KIDS,NSC-61806,Scopoderm,Scopoderm TTS,Scopolamine,Scopolamine Hydrobromide,Scopolamine Hydrobromide Hydrate,Scopolamine Hydrobromide Trihydrate,Scopolamine Hydrochloride,Transcop,Transderm SCOP,Transderm-SCOP",,
BRD-K02458594,Chlorpromazine,"Largactil FTE,NSC-167745,Chlorpromazine HCl,Elmarin,SKF-2601A,Chlorpromazine,Largactil,Promapar,Chlorazine,Chlorpromazine Hibenzate,Megaphen,Sonazine,J2.794D,Chlorpromazine Tannate,Chlorpromazine Phenolphthalinate,Chlorpromazine Hydrochloride Intensol,Chloractil,Thorazine,NSC-17479,Chlorpromazine Hydrochloride,Rimazine,NSC-226514",,
BRD-K43682718,Spironolactone,"Abbolactone,Aldactone,Carospir,Diatensec,GX Spironol,Laractone,NSC-150399,SC-9420,Spiretic,SPIROCTAN 100,SPIROCTAN 25,SPIROCTAN 50,Spironolactone,SPIROSPARE 100,SPIROSPARE 25",,
hycanthone,Phentolamine,"NV-101,Oraverse,Phentolamine,Phentolamine HCl,Phentolamine Hydrochloride,Phentolamine Mesilate,Phentolamine Mesylate,Phentolamine Methanesulfonate,Regitine,Regitine HCl,Rogitine",,
GSK-2334470,Testosterone Propionate,"NRB-03689,NSC-9166,Testosterone Propionate,Testosterone Propionate CIII",,
yk 4-279,Nefazodone,"BMY-13754,Dutonin,MJ-13754-1,Nefazodone,Nefazodone HCl,Nefazodone Hydrochloride,Serzone",,
mls-0390857.0001,Nortriptyline,"38489,Allegron,Aventyl,Aventyl HCl,Motipress,Motival,NCI-169453,Nortriptyline,Nortriptyline HCl,Nortriptyline Hydrochloride,NSC-169453,Pamelor,Psychostyl",,
aristolochic acid,Betahistine,"Betahistine,BETAHISTINE 2HCL,Betahistine Dihydrochloride,Betahistine HCl,Betahistine Hydrochloride,Betahistine Mesilate,Betahistine Mesylate,PT-9,Serc,SERC-16,SERC-8",,
apoptosis activator 2,Benzonatate,"Benzonatate,Tessalon",,
dihydroergocristine,Triamterene,"Dyrenium,Dytac,NSC-639359,NSC-77625,SK-8542,SK&F-8542,Triamterene",,
kirromycin,Norethindrone,"Heather,Nor-QD,Primolut N,Norlutate,Aygestin,SC-4640,Combipatch,Utovlan,Micronor HRT,NSC-9564,19-Norethindrone,Activella,Norlutin,Errin,Menzol,Jencycla,Norethindrone,Norethidrone,Micronor,Noriday,Camila,Femhrt,Norethisterone,Incassia",,
BRD-K97274161,Doxorubicin,"Adriamycin,Adriamycin PFS,Adriamycin RDF,Adriblastina,Caelyx,Doxil,Doxil (Liposomal),Doxorubicin,Doxorubicin HCl,Doxorubicin Hydrochloride,Doxorubicin Hydrochloride (Liposomal),Doxorubicin Trifluoroacetate,Hydroxydaunorubicin,Myocet,NSC-123127,Rubex,Valrubicin Impurity\, Doxorubicin",,
BRD-K49814456,Perindopril,"Aceon,Coversyl,MCN-A-2833,MCN-A-2833-109,Perindopril,Perindopril Arginine,Perindopril Erbumine,Perindopril Tert-Butylamine,S-9490,S-9490-3",,
ncgc00183412-01,Riboflavin,"E101,E-B2,Flavaxin,Freeda,INS NO. 101(I),Lactoflavin,NCI-0033298,NSC-33298,Riboflavin,Riboflavine,Riboflavin Tetrabutyrate,RIBOFLAVIN (VIT B2),VITAMIN B2,VITAMIN B 2,Vitamin G",,
cimaterol,Mefenamic acid,"CI-473,CN-35355,Contraflam,DYSMAN-250,DYSMAN-500,INF-3355,J2.344B,M01AG01,Mefenamic acid,MEFLAM 250,MEFLAM 500,Mendys,NSC-94437,OPUSTAN 250,OPUSTAN 500,Ponstan,Ponstan FTE,Ponstel",,
BRD-K30849099,Isocarboxazid,"Isocarboxazid,Marplan,NSC-169893,RO 5-0831,RO-5-0831",,
BRD-K17025677,Diphemanil,"Diphemanil,Diphemanil Methylsulfate,Diphemanil Metilsulfate,Prantal",,
BRD-K90430314,Lamotrigine,"BW-430C,Lamictal,Lamictal CD,Lamictal ODT,Lamictal XR,Lamotrigine",,
clenbuterol hydrochloride,Buspirone,"APD405,APD-405,BCI-024,Buspar,Buspirone,Buspirone HCl,Buspirone Hydrochloride,MJ-9022-1",,
VX-745,Fenoterol,"Berodual,Berodual N,Berotec,BEROTEC 100,BEROTEC 200,Berotec [As Hydrobromide],Duovent,Fenoterol,Fenoterol HBR,Fenoterol Hydrobromide,TH-1165,TH-1165A [AS HYDROBROMIDE SALT],TH 1165A FREE BASE,TH-1165A FREE BASE",,
CH5424802,Rosiglitazone,"Avandamet,Avandaryl,Avandia,BRL-49653,BRL-49653C,BRL-49653-C,Rosiglitazone,Rosiglitazone HCl,Rosiglitazone Hydrochloride,Rosiglitazone Maleate,TDZ-01",,
15-delta prostaglandin j2,Piperidolate,"Dactil,Piperidolate,Piperidolate HCl,Piperidolate Hydrochloride",,
mt-21,Ranolazine,"CVT-303,Ranexa,Ranolazine,Ranolazine Dihydrochloride,Ranolazine HCl,RS-43285,RS-43285-003",,
syrosingopine,Pindolol,"Betadren,LB-46,Pindolol,Prinodolol,Visken",,
BRD-K49094915,Hexylcaine,"Cyclaine,Hexylcaine,Hexylcaine HCl,Hexylcaine Hydrochloride",,
BRD-K61413806,Ketoprofen,"Nexcede,KETOCID 200,19583RP,Actron,Powergel,RU-4733,KETOZIP 200 XL,Oruvail IM,Larafen,Axorid,FENOKET 200,KETOTARD 200 XL,Ketoprofen Sodium,Tiloket,Ketovail,Ketonal,Diractin,Ketoprofen,VALKET 200 RETARD,R.P. 19583,Tiloket CR,ORUVAIL 200,ORUVAIL 150,Orudis,Oruvail,Orudis KT,Jomethid XL,Alrheumat,ORUDIS 100,IDEA-033,ORUVAIL 100,RP-19583,Larafen CR",,
GSK-461364,Flurandrenolide,"33379,Cordran,Cordran SP,Fludroxicortide,Fludroxycortide,Flurandrenolide,Flurandrenolone,Haelan,Haelan-C,Haelan-X",,
sc-68376,Finasteride,"Aindeem,Finasteride,MK-906,Propecia,Proscar,Prostide",,
harpagoside,Pimozide,"MCN-JR-6238,NSC-170984,Orap,Pimozide,R 623,R-623,R-6238",,
BRD-K96704648,Diphenidol,"Difenidol,Difenidol HCl,Diphenidol,Diphenidol HCl,Diphenidol Hydrochloride,Diphenidol Pamoate,SK-478,SK-478-A,SK&F-478,SK&F-478A,SK&F-478-J,Vontrol",,
BRD-K46499837,Caffeine,"Anhydrous Caffeine,Cafcit,Caffeine,Caffeine Citrate,Caffeine\, Citrated,Caffeine Melting Point Standard,Caffeine Mixture With Citric acid,Coffeine,FEMA NO. 2224,Methyltheobromine,Nodoz,Nodoz Caplets And Chewable Tablets,NSC-5036,Peyona,Pro-PLUS,Theine,Yeast-VITE,Zanthine",,
tozasertib,Celecoxib,"Celebra,Celebrex,Celecoxib,DFN15,DFN-15,Onsenal,SC-58635",,
BRD-A35020550,Maprotiline,"BA-34276 [AS HYDROCHLORIDE],BA-34\,276 FREE BASE,BA-34276 FREE BASE,Ludiomil,Maprotiline,Maprotiline HCl,Maprotiline Hydrochloride,Maprotilline HCl",,
BRD-K35858371,Clomifene,"Chloramiphene,Clomid,Clomifene,Clomifene Citrate,Clomiphene,Clomiphene Citrate,Clomiphene Citrate (Z\,E),Clophene,MER-41,Milophene,MRL-41,NSC-35770,Serophene",,
BRD-K79459005,Epirubicin,"Ellence,Epirubicin,Epirubicin HCl,Epirubicin Hydrochloride,Farmorubicin,IMI-28,NSC-256942,Pharmorubicin,WP-697",,
BRD-K37021324,Nicotine,"Commit,Nicotrol NS,Nicoderm,NICOTINELL TTS 10,Nicotine Bitartrate,Niquitin CLR,Nicotrol,Nicotine Polacrilex,Thrive,Nicotrol Inhaler,Niquitin Minis MINT,Niquitin Minis Cherry,Nicotine,Habitrol,Nicotinell Support,NICOTINELL TTS 20,Niquitin,Nicotinell Classic,Stoppers,Nicoderm CQ,Prostep,Nicorette,Niquitin Strips MINT,Niquitin MINT,Niquitin Pre-QUIT,(-)-Nicotine hydrogen tartrate salt,Stubit,NICOTINELL TTS 30,Niquitin Minis Orange,Nicotine Ditartrate,Nicopatch,Nicotine HCl,Nicopass,Nicabate,Nicorette Invisi",,
rho kinase inhibitor iii [rockout],Fluconazole,"[3H]-Fluconazole,Canesten ORAL,Diflucan,Diflucan In Sodium Chloride,Diflucan ONE,Fluconazole,Fluconazole In Sodium Chloride,Triflucan,UK-49858",,
podophyllotoxin,Minoxidil,"Loniten,Lonolox,Men'S Rogaine,Minodyl,Minoxidil,Minoxidil Extra Strength,Minoxidil Hydrochloride,Regaine For MEN,Regaine For Women,Rogaine,Rogaine Extra Strength,Theroxidil,U-10858,Women'S Rogaine",,
SB-203580,Diclofenac,"Defanac SR,Voltarol Emulgel,Acoflam,CGP-45840B,Misofen,DICLOZIP 25,Econac,Enstar SR,Difenor XL,Voltarol Active,Voltarol 12 hour emulgel p,Flector Patch,ARTHROTEC 75,VALDIC 100 RET,Voltaren-XR,Diclomax RET,Masidemen,LOFENSAID RET 75,Diclofenac Sodium Salt,Voltarol Pain-Eze Extra Strgh,Flamrase SR,Rhumalgan XL,Enstar XL,Diclovol RET,Diclofenac,Motifene,Arthronac,Dicloflex RET,DIGENAC XL 100,Enzed,Rhumalgan,Flamrase,DICLOZIP 50,Diclovol,LOFENSAID RET 100,Dexomon RET,Voltarene Emulgel,Fenactol SR,Defanac,Voltarol Pain-Eze Emulgel,Voltarol SR,RHUMALGAN CR 75,Diclofenac Epolamine,Zorvolex,Voltaren,Flamatak MR,RHUMALGAN CR 100,Mobigel Paineze,Dyloject,Licart,VOLSAID RET 100,Zorvolex Capsules,Dicloflex,Slofenac,LOFENSAID 50,Econac XL,VOLSAID RET 75,Zipsor,ARTHROTEC 50,Voltarene RET,Voltarol,Mobigel,GP-45840,Diclovol SR,Diclofenac Potassium,Valenac,Flexotard MR,Defanac Retard,Dexomon SR,LOFENSAID 25,Arthrotec,CLOSTERIL 100,DICLOTARD 75 MR,Voltaren Ophthalmic,Voltarol Pain-EZE,Diclofenac Potassium Salt,Cambia,VALDIC 75 RET,Rhumalgan SR,Diclofenac Sodium,Fenactol RET,Voltarol RET,Diclofenac?Na,RHEUMATAC RET 75,Voltaren RET,Solaraze,Acoflam SR,DICLOTARD 100 MR,Isclofen,Benzeneacetic acid\, 2-[(2\,6-dichlorophenyl)amino]-\, monosodium salt [cas],Voltaren XR,Pennsaid,Fenactol,Voltarol Emulgel P,Voltarol Gel Patch,Voltarol Rapid,Diclomax SR,Acoflam RET,Voltarene L.P.,Voltaren Emulgel,Econac SR,Dicloflex SR,Voltarol Ophtha,Diclofenac SOD,Volraman,Voltarol Joint PAIN,Flector,Cataflam,Voltarene",,
saracatinib,Irinotecan,"Campto,Camptosar,CPT 11,CPT-11,Irinotecan,Irinotecan HCl,Irinotecan Hcl Trihydrate,Irinotecan Hcl )Trihydrate),Irinotecan Hydrochloride Trihydrate,U-101440E",,
BX-795,Timolol,"Timolol Maleate Salt,Timolol Hydrogen Maleate Salt,Blocadren,Timolol,S(-)-Timolol Maleate,WP-934,Timolol Maleate,Timoptic XE,Timolol Maleate\, S-Enantiomer,Timoptic In Ocudose,Istalol,Tiopex,Timoptic,Timolol Hemihydrate,Betimol,Timoptic-XE,Nyogel,Glaucol,Betim,Glau-OPT",,
BRD-K64857848,Lovastatin,"Altoprev,C10AA02,L-154803,Lovastatin,Mevacor,Mevinacor,MEVINACOR 10,MEVINACOR 40,Mevinolin,MK-803,Simvastatin Impurity\, Lovastatin-",,
entinostat,Mibefradil,"Mibefradil,Mibefradil Dihydrochloride,Mibefradil Dihydrochloride Hydrate,Posicor,POSICOR 100,POSICOR 50,RO-405967-001",,
bw 723c86 hydrochloride,Thiotepa,"NSC-6396,Tepadina,Thioplex,Thiotepa",,
BRD-K34387287,Methantheline,"Banthine,Dixamone Bromide,Methantheline,Methantheline Bromide,Methanthelinium,Methanthelinium Bromide",,
nafronyl oxalate,Saquinavir,"Fortovase,Invirase,RO-31-8959,RO-318959000,RO-318959003,RO-31-8959-003,Saquinavir,Saquinavir Mesilate,Saquinavir Mesylate,Saquinavir Methanesulfonate Salt,SCH-52852",,
tyrphostin 46,Danthron,"Chrysazin,Danthron,Dantron,Dorbane,Istizin",,
vu0415533-1,Phenylbutazone,"Antadol,Azolid,Butacote,Butaject,Butazolidin,Diphenylbutazone,Elmedal,Equiphar,Phenylbutazone,Pro-BUTE",,
AZD-1480,Diloxanide Furoate,"Diloxanide Furoate,Entamizole,Furamide",,
GDC-0068,Perphenazine,"Chlorpiprazine,Decentan,Etaperazine,Fentazin,NSC-150866,Perphenazine,Perphenazine Fendizoate,Perphenazine Maleate,Trilafon,Trilafon-LA",,
KIN001-127,Gemfibrozil,"CI-719,Emfib,Gemfibrozil,Lopid",,
prostaglandin e2,Benzbromarone,"3-[3\,5-Dibromo-4-hydroxybenzoyl]-2-ethylbenzofuran,Benzbromaron,Benzbromarone,Desuric,L-2214,MJ-10061,Narcaricin MITE,NSC-85433",,
BRD-K94390040,Glipizide,"CP-28720,Glibenese,Glipizide,Glucotrol,Glucotrol XL,K-4024,MINODIAB 2.5,MINODIAB 5",,
aminolevulinic acid,Fenbufen,"Cinopal,CL-82204,Fenbufen,FENBUZIP 300,FENBUZIP 450,LEDERFEN 450,Lederfen CP,Lederfen F",,
mdl 29951,Carbenoxolone,"Biogastrone,Bioplex,Bioral,Carbenoxolone,Carbenoxolone Disodium,Carbenoxolone Disodium Salt,Carbenoxolone Sodium,Duogastrone",,
ncgc00182362-01,Midostaurin,"CGP-41251,Midostaurin,NVP-PKC412,PKC-412,Rydapt",,
BRD-K81927853,UNII-884KT10YB7,"ZANTAC 300,ZANTAC 75 DISSOLVE,Ranzac,Ranitic,Zantac,Rantec,Ranitidine Bismutrex,Azantac,Ranitidine,RACIRAN 150,Pylorid,Tritec,ZANTAC 75 RELIEF,ZAEDOC 300,ZANTAC 75,Zantac 75 relief dissolve,Ranitidine Hydrochloride,ZANTAC 150,Vivatak,AH-19065,Raniplex,Ranitidine HCl,Gavilast,Ranitidine Bismuth Citrate,Histac,Dumoran,GR-122311X,Ranicalm,RACIRAN 300,ZANTAC 25,Gavilast-P,Ranitil,ZAEDOC 150",,
roscovitine,Dexibuprofen,"Dexibuprofen,IBU-Tab,Neoprofen,Rufen,(S)-[11c]-Ibuprofen,Seractil,S-(+)-Ibuprofen",,
lfm-a13,Papaverine,"NSC-136630,NSC-35443,Papaver HCl,Papaverine,Papaverine HCl,Papaverine Hydrochloride,Pavabid",,
hydrocortisone phosphate triethylamine,Ropinirole,"Adartrel,Aimpart XL,Ipinnia XL,Ralnea XL,Raponer XL,Repinex XL,Requip,Requip XL,Ropilynz XL,Ropinirole,Ropinirole HCl,SK&F-101468,SK&F-101468A,SK&F-101468-A,Spiroco XL",,
BRD-K64835161,Oxymetazoline,"Afrazine,Ocuclear,Oximetazoline HCl,Oxymetazoline,Oxymetazoline HCl,Oxymetazoline Hydrochloride,Rhofade,SCH-9384,Visine,Visine L.R.",,
compound 12,Piperacetazine,"PC-1421,Piperacetazine,Quide",,
prothionamide,Diazepam,"Scriptopam,ALUPRAM 5,Dizac,Q-Pam,Solis,Relanium,Diastat,E-Pam,Valium,RO-5-2807,NSC-77518,Atensine,Diazepam Intensol,Paxel,Apozepam,Vivol,RO-52807,Tranimul,ALUPRAM 2,Diazepam CIV,Diazepam,NSC-169897,Stesolid,Dialar,Diazepam (Dea License),Serenack,Valclair,ALUPRAM 10,WY-3467,Tensium,Dialar FTE,Valrelease,Diastat Acudial,LA-III",,
BRD-K37150847,Estriol,"16.Alpha.-Hydroxyestradiol,Estriol,Estriol Acetate Benzoate,Estriol Propionate,Estriol Succinate,Gynest,NSC-12169,Oestriol,Ortho-Gynest,Ovestin,Theelol",,
cilnidipine,Clebopride,"Clanzoflat,Clebopride,Clebopride Malate,Clebopride Maleate,Cleboril,LAS-9273",,
D-4476,Diflorasone Diacetate,"Diflorasone,Diflorasone Diacetate,Florone,Florone E,Psorcon,Psorcon E,U-34865",,
BRD-K89843224,Propoxycaine,"Blockain HCl,Propoxycaine,Propoxycaine HCl,Propoxycaine Hydrochloride,Ravocaine HCl",,
bongkrekic acid,Estradiol,"Divigel,Estradiol Hemihydrate,EVOREL 25,Depo-Estradiol,Bedol,Agofollin,ESTRADERM TTS 50,Oestradiol,Zumenon,Fempatch,Innofem,Gvnodiol,ESTRADERM MX 50,WC3011,17B-Estradiol,Dihydrotheelin,MENORING 50,Menostar,Esclim,Gynogen,DERMESTRIL SEPTEM 25,Aquagen,EVOREL 100,Elestrim,ESTRADERM TTS 25,NSC-9895,MENOREST 50,Estraderm,Vivelle-DOT,VAGIFEM 8,EVOREL 75,ESTRADERM TTS 100,Adgyn Estro,DERMESTRIL 100,ELLESTE SOLO MX 40,Imvexxy,Sandrena,17 Alpha estradiol,Beta-Estradiol,ESTRADERM MX 100,Gynoestryl,MENOREST 75,ESTRADERM MX 75,Elestrin,Minivelle,Vagifem,Destradiol,Evamist,Gynergon,Estradiol,FEMATRIX 80,Alfatradiol,Estrace,Estring,WC-3011,VAGIFEM 18,B-Estradiol,EVOREL 50,ELLESTE SOLO MX 80,Gynodiol,FEMSEVEN 100,NSC-20293,Estrogel,?-Estradiol,DERMESTRIL SEPTEM 75,Alora,DERMESTRIL SEPTEM 50,Dihydroxyestrin,Climara,DERMESTRIL 25,Progynova TS,Estrasorb,FEMSEVEN 50,FEMSEVEN 75,E-Cypionate,ESTRADIOL-17 BETA,Vivelle,Climara PRO,DERMESTRIL 50,FEMATRIX 40,ESTRADERM MX 25,Elleste SOLO,MENOREST 37.5",,
ncgc00186542-01,Phenolphthalein,"Alophen,Ex-Lax,Phenolphthalein,Prulet",,
fenoldopam hydrochloride,Prochlorperazine,"10H-Phenothiazine\, 2-chloro-10-[3-(4-methyl-1-piperazinyl)propyl- [cas],Buccastem,Buccastem M,Compazine,Compro,Prochlorperazine,Prochlorperazine Dimaleate,Prochlorperazine Edisylate,Prochlorperazine Ethanedisulfonate,Prochlorperazine Maleate,Prochlorperazine Mesilate,Procomp,Proziere,Stemetil EFF,Vertigon",,
BRD-K03651937,Megestrol Acetate,"5071,BDH-1298,Megace,Megace ES,Megestrol,Megestrol Acetate,NSC-71423,Ovaban,SC-10363",,
BRD-K81441552,Atomoxetine,"Atomoxetine,Atomoxetine HCl,LY-139603,Strattera,Tomoxetine,Tomoxetine HCl,Tomoxetine Hydrochloride",,
s1154,Mitoxantrone,"CL-232315,Mitoxanthrone Hydrochloride,Mitoxantrone,Mitoxantrone Dihcl,Mitoxantrone Dihydrochloride,Mitoxantrone HCl,Mitoxantrone Hydrochloride,Mitozantrone,Novantrone,NSC-279836,NSC-301739",,
s2001,Rofecoxib,"M01AH02,MK0966,MK-0966,MK-966,Rofecoxib,Vioxx",,
brazilin,Diflunisal,"Diflunisal,Dolobid,DOLOBID 500",,
s1071,Simvastatin,"C10AA01,Flolipid,Lacersa,MK-0733,MK-733,Ranzolont,Simvador,Simvastatin,Simvastatin Hydroxy acid,Synvinolin,Zocor,Zocor Heart-PRO",,
TG1348,Digoxin,"Digamex,Digoxin,Digoxin Pediatric,Lanoxicaps,Lanoxin,LANOXIN-125,Lanoxin Pediatric,Lanoxin-PG,NSC-95100,Vanoxin",,
tiabendazole,Nilutamide,"Anadron,Nilandron,Nilutamide,RU-23908",,
ucl 2077,Diltiazem,"Tiamex,OPTIL XL 240,BI-Carzem SR,Diltiazem Hydrochloride,ANGITIL XL 240,Dilt-CD,Adizem-XL,SLOZEM 180,SLOZEM 120,OPTIL SR 180,Tiazac,DILZEM SR 120,BI-Carzem XL,Calcicard,ZEMRET 300 XL,SLOZEM 240,Calazem,OPTIL XL 300,Kenzem SR,ZEMTARD 240 XL,DILZEM XL 240,Tildiem,UARD 240XL,Dilacor XR,Dilcardia SR,Cardizem,Adizem-SR,Slozem,ADIZEM-60,ZEMTARD 300 XL,Calcicard CR,Optil,DILZEM SR 90,OPTIL SR 90,Diltiazem HCl,Dilcardia XL,HORIZEM SR 120,ZEMTARD 180 XL,Cardizem CD,UARD 300XL,UARD 120XL,ZEMTARD 120 XL,ANGITIL XL 300,Viazem XL,Taztia XT,Britiazim,TILDIEM LA 200,ZEMRET 240 XL,TILDIEM LA 300,DILZEM SR 60,ANGIOZEM 60,Zildil SR,ANGIOZEM CR 120,Diltiazem,DILZEM XL 120,Tiamate,OPTIL SR 120,HORIZEM SR 90,Cardizem LA,TILDIEM RET 120,Disogram SR,CRD-401,ANGITIL SR 180,TILDIEM RET 90,Cardizem SR,MK-793,ANGIOZEM CR 90,DILZEM XL 180,Diltzac,HORIZEM SR 60,Anoheal,RG-83606,ANGITIL SR 90,Dilacor,RETALZEM 60,Kentiazem,ZEMRET 180 XL,Diltiazem Malate,UARD 180XL,(+)-Cis-diltiazem hydrochloride,ANGITIL SR 120,Cartia XT",,
carbazol-9-yl-p-tolyl-methanone,Oxaprozin,"Daypro,Daypro ALTA,NSC-310839,Oxaprozin,Oxaprozin Potassium,WY-21743",,
BRD-K00366212,Physostigmine,"Antilirium,Eserine,Eserine Salicylate,Eserine Sulfate,Eserine Sulfate\, Physostigmine Sulfate,Isopto Eserine,MCV-4484,NSC-30782,Physostigmine,Physostigmine Salicylate,Physostigmine Sulfate",,
isorotenone,Tadalafil,"Adcirca,Cialis,IC351,IC-351,Tadalafil",,
BRD-K97149069,Probenecid,"Benemid,Benuryl,HC 5006,NSC-18786,Probalan,Probampicin,Probecid,Probenecid",,
(+)-JQ1,Reserpine,"ENT-50146,Hiserpia,NSC-237659,NSC-59272,Rau-Sed,Reserpine,Sandril,Serpalan,Serpanray,Serpasil,Serpate,Serpivite",,
bms 299897,Nifedipine,"Nimodrel XL,Nife-Wolff,ADIPINE MR 20,Neozipine XL,GENALAT 10 RET,ADALAT LA 30,HYPOLAR XL 30,Nivaten RET,FORTIPINE LA40,VALNI 20 RET,ANGIOPINE MR 20,NIMODREL MR 20,Afeditab CR,Nifopress MR,NIMODREL MR 10,ADALAT LA 20,NIFEDIPRESS MR 20,Procardia XL,HYPOLAR RET 10,HYPOLAR RET 20,Procardia,BAY-A-1040,ANGIOPINE 40 LA,TENSIPINE MR 20,ADALAT LA 60,Cardilate MR,GENALAT 20 RET,Nifopress RET,ANGIOPINE 5,Coracten SR,Adalat IC,CALCHAN MR 10,SLOFEDIPINE XL 60,Valni XL,Coracten XL,Calanif,Adalat,ANGIOPINE MR 10,CALCHAN MR 20,Adipine XL,ADIPINE MR 10,Vasad,TENSIPINE MR 10,KENTIPINE MR 10,Adalate LP,NIFEDIPRESS MR 10,Adanif XL,Kentipine,Calcilat,Adalat CC,Coroday MR,Unipine XL,Adalat A.R.,Nifedipine,SLOFEDIPINE XL 30,ANGIOPINE 10,NIFEDOTARD 20 MR,Adalat RET,Nifelease,KENTIPINE MR 20,Nifensar XL",,
naloxone benzoylhydrazone,Pirfenidone,"AMR-69,Esbriet,Pirfenidone",,
ncgc00183409-01,Amiloride,"3\,5-Diamino-n-carbamimidoyl-6-chloropyrazine-2-carboxamide kaj-25,Amilamont,Amiloride,Amiloride HCl,Amiloride Hydrochloride,Amiloride Hydrochloride Dihydrate,AMILOSPARE 5,Amipramidine,Amoride,Berkamil,Hydro-RIDE,Midamor,Pyrazinecarboxamide\, 3\,5-diamino-n-(aminoiminomethyl)-6-chloro- [cas]",,
quercetin,Pyrilamine,"Mepyramine,Mepyramine Maleate,Pyrilamine,Pyrilamine Maleate",,
pifithrin- a hydrobromide-69.83,Beclomethasone Dipropionate,"Clenil Modulite,Asmabec Spacehaler,SCH-18020W,Beclazone 100 e-breathe,BECLAZONE 100,Vanceril Double Strength,Zonivent Aquanasal,Vivabec,Nasobec Hayfever,Becloforte-VM,Pulvinal Beclomet,FILAIR 50,Beclomist,Beclomethasone Dipropionate,Vancenase Pockethaler,Qnasl,AEROBEC 50,Becloforte E-Breathe,Beclovent,SGX-202,BECOTIDE 100,Propaderm-C,Nasobec AQ,Propaderm-A,Vanceril,Beclomet Diprop,SCH 8020W,BECOTIDE 50,Becotide 100 e-breathe,QVAR 50,Clipper,BECLAZONE 50,BECLAZONE 200,Vancenase,Propaderm,Vancenase AQ,BECLAZONE 250,Beclazone 250 e-breathe,Qvar Redihaler,BECOTIDE 200,Ventide,Becloforte,FILAIR 100,Propaderm FTE,QVAR 100,Beconase AQ,Beclometasone Dipropionate,Becotide,SGX-203,AEROBEC 100,Rino Clenil,Beclomet Hayfever,Beconase,QVAR 100 E-BREATHE,Becloforte Integra,Becodisks,QVAR 50 E-BREATHE,Beclometasone,Fostair,Beclazone 50 e-breathe,BECLOAQUA 50,Asmabec Clickhaler,QVAR 40,SGX-201,Beclomethasone Dipropionate Monohydrate,Beclotaide,QVAR 80,AEROBEC FTE 250,BECOTIDE 50 E-BREATHE,Filair FTE,Beclomethasone,Fostair Nexthaler",,
sew 05685,Flumazenil,"Anexate,Flumazenil,Flumazepil,Mazicon,RO-151788,RO-15-1788,RO-151788000,RO-1722,RO-41-8157,Romazicon",,
AZ20,Felbamate,"ADD-03055,Felbamate,Felbatol,Taloxa,W-554",,
BRD-K30381384,Tubocurarine,"Jexin,Tubarine,Tubocurarine,Tubocurarine Chloride",,
ncgc00183690-01,Alpelisib,"Alpelisib,BYL719,BYL-719,NVP-BYL719,Piqray",,
BRD-K27484191,Fluorouracil,"5-Fluorouracil,5 FU,5-FU,5.F.U.,Accusite,Actikerall,Adrucil,Carac,Efudex,Efudix,Fluoroplex,Fluorouracil,Fluorouracil (5-fluoracil\, 5-fu),Fluoro-Uracil Roche,Fluracil,NSC-19893,RO-29757,RO-2-9757,Tolak",,
